gen,best,mean,sigma,gravity,phase,elapsed_s
262,538.75719553806,221.05847782379797,0.3569779266662564,-10.740467698220892,random,1.0909459590911865
263,1235.2047421916093,374.51927067743543,0.35645628125966333,-8.925016290136243,random,1.814399003982544
264,1072.782676356134,320.38706773399196,0.35592963564231556,-8.316619006558144,random,1.574404001235962
265,1152.7563840953073,303.38386376322404,0.3555390937049642,-9.32008382858817,random,1.331402063369751
266,1302.6935354094626,339.59325785984345,0.3552685252440966,-6.021841772881857,random,1.6200129985809326
267,1065.0945175602185,297.262786945299,0.3549668909130818,-7.652589978097003,random,1.5562660694122314
268,808.9362872544931,245.13284874519132,0.3547093757720062,-10.187912324041301,random,1.0984110832214355
269,803.5863071103746,277.7850669028172,0.3546074543938986,-9.897953984389979,random,1.2829837799072266
270,929.4192395285249,317.3328447091023,0.3546246500700419,-10.585779845777408,random,1.4005720615386963
271,737.7105844881572,165.8320231838267,0.354504901340744,-11.720557639389309,random,1.1523160934448242
272,1115.5369965090213,211.27574405237368,0.3545583284951365,-9.206698182343198,random,1.3604578971862793
273,1296.3581751954987,318.13288289653735,0.35484451290130636,-6.186820717268887,random,1.7064778804779053
274,990.4019708244923,319.12022776045035,0.3551208090936739,-7.289686809855345,random,1.618088960647583
275,820.459278907404,271.8666195595355,0.3553523565273505,-6.690556286135715,random,1.526277780532837
