arm,gen,n_seeds,median_score,q1_score,q3_score,mean_score
random_variable_gravity,170,10,310.74489223765215,260.0808355287115,399.90435575192635,359.73970520677125
random_variable_gravity,180,10,337.74553947482366,258.8796435481774,561.7653992472149,436.47164955481946
random_variable_gravity,190,10,286.30041420635513,205.58807782373987,366.92901809155586,305.0909010759823
random_variable_gravity,200,10,427.98038777103704,371.0368835089462,527.0957880707965,448.08206770845857
random_variable_gravity,210,10,431.551978932814,389.653912403852,532.4720740856719,469.9540956943927
random_variable_gravity,220,10,438.23254427557674,332.8346069512298,526.3086185189186,427.30658078189254
random_variable_gravity,230,10,447.9774502949449,381.6931885697577,599.9309919116529,518.132509380372
random_variable_gravity,240,10,399.7775685700349,314.67363363873807,745.3278443042886,541.6945359498783
random_variable_gravity,250,10,509.4298195243108,312.7209351086737,659.5404092337822,514.0798569082328
random_variable_gravity,260,10,400.2766127542959,341.3071316542553,831.0998223773948,545.8735031037312
random_variable_gravity,270,10,570.9288202992784,371.4586237570495,961.7225570638606,705.3322638044024
random_variable_gravity,280,10,547.5969660061614,295.9400414918813,902.9238339092738,615.040210100576
random_variable_gravity,290,10,393.17528206910333,302.3606714471912,655.1555261583477,477.91932297516695
random_variable_gravity,300,10,507.7372948894629,384.4314079873882,917.9763824724124,634.2223697466889
random_variable_gravity,310,10,642.7198741893571,353.6821725200063,943.495128470855,683.6419877342653
random_variable_gravity,320,10,439.55920545621086,286.2553440540512,872.450287614812,599.7287522159936
random_variable_gravity,330,10,613.9991786130705,346.7297160499835,965.7490400278808,646.6783041002665
random_variable_gravity,340,10,853.8876602581429,467.3382832717552,1051.033230783489,748.8018764741785
random_variable_gravity,350,10,941.7715241134129,617.5527494173447,1131.4349391763856,896.5117654870339
random_variable_gravity,360,10,410.6606917483815,353.5919875530849,471.06210631391195,434.4258787797145
random_variable_gravity,370,10,848.4851280603466,514.2766149031894,1033.8176445818683,766.0140545961755
random_variable_gravity,380,10,549.6097359707234,435.87040462787695,645.1323080884046,653.854250578451
random_variable_gravity,390,10,661.7031709999765,255.267840715604,1157.4326374114994,704.8058753684146
random_variable_gravity,400,10,589.8488689950875,487.2765639395394,854.0491994594752,680.4502794898108
random_variable_gravity,410,10,551.4670113454176,290.2550252146349,914.3315430248084,641.3736966225373
random_variable_gravity,420,10,459.03912973664677,406.28225259875853,571.417515112684,545.1912275566108
