gen,best,mean,sigma,gravity,phase,elapsed_s
95,735.3001089404189,143.8040519560275,0.38289174952289573,-2.0,warmup,1.682361125946045
96,631.4233492215038,94.98338397859419,0.38312417511295044,-2.0,warmup,1.6791877746582031
97,923.0875937787981,222.3664943599918,0.383237324005501,-2.0,warmup,1.8104462623596191
98,760.857766864368,188.06417772727914,0.3833266770103454,-2.0,warmup,1.7730131149291992
99,786.491451296413,199.81221892982535,0.3833028922031473,-2.0,warmup,1.6973378658294678
100,831.2885536458722,182.91878587832247,0.3833303036099052,-2.0,warmup,1.7268381118774414
101,649.2622276183042,212.2824892602277,0.3834542586900835,-2.019525,ramp 0%,1.8012070655822754
102,863.8566846352663,240.47111441157466,0.3835554486249271,-2.03905,ramp 0%,1.819869041442871
103,689.0161657824759,194.53273683589018,0.38368949205762864,-2.058575,ramp 0%,1.9193072319030762
104,625.5279341410838,109.99308366434407,0.38363684310277096,-2.0781,ramp 1%,1.7695930004119873
105,992.3400549688823,218.9206985812478,0.38360696965277935,-2.097625,ramp 1%,1.8226921558380127
106,1084.4305924281632,215.77913009379745,0.38372587789347884,-2.11715,ramp 1%,1.8511199951171875
107,924.791462958427,271.6496836711536,0.38400177010896824,-2.136675,ramp 1%,1.764402151107788
108,674.6275565113956,226.0915993941689,0.3843068815865449,-2.1562,ramp 2%,1.8382151126861572
109,836.9248926771725,205.39691605683873,0.3844332565186544,-2.175725,ramp 2%,1.639864206314087
