arm,generation,mean_score,sem_score,mean_progress_m,sem_progress_m,n_seeds
archive_based,400,964.08,209.75,5.057,1.279,10
archive_based,410,1026.15,228.79,5.435,1.331,10
archive_based,420,1078.81,242.47,5.498,1.352,10
archive_based,430,1087.91,218.08,5.736,1.296,10
archive_based,440,1172.98,213.88,6.134,1.289,10
archive_based,450,1213.53,235.43,6.601,1.432,10
archive_based,460,1101.83,270.52,6.06,1.61,10
archive_based,470,1058.48,241.75,5.747,1.426,10
archive_based,480,1234.98,238.44,6.65,1.462,10
archive_based,490,1159.75,187.93,6.319,1.231,10
multi_environment,0,-396.81,13.89,-0.321,0.086,10
multi_environment,10,-328.67,19.22,-0.197,0.072,10
multi_environment,20,-318.59,36.0,-0.18,0.13,10
multi_environment,30,-214.53,49.48,-0.02,0.153,10
multi_environment,40,-178.41,53.56,0.062,0.221,10
multi_environment,50,-233.84,45.95,-0.166,0.179,10
multi_environment,60,-98.81,55.64,0.389,0.187,10
multi_environment,70,-25.68,51.96,0.518,0.22,10
multi_environment,80,1.64,48.77,0.654,0.141,10
multi_environment,90,53.91,48.82,0.768,0.141,10
multi_environment,100,147.5,18.02,1.054,0.059,10
multi_environment,110,156.1,52.09,1.072,0.217,10
multi_environment,120,166.12,17.78,1.053,0.063,10
multi_environment,130,157.62,30.71,0.93,0.065,10
multi_environment,140,263.27,31.66,1.292,0.193,10
multi_environment,150,257.5,34.69,1.352,0.221,10
multi_environment,160,301.42,62.64,1.503,0.345,10
multi_environment,170,387.31,91.27,1.789,0.484,10
multi_environment,180,450.72,128.83,2.035,0.68,10
multi_environment,190,473.04,128.79,2.103,0.671,10
multi_environment,200,426.32,102.26,1.966,0.602,10
multi_environment,210,400.52,85.16,1.951,0.536,10
multi_environment,220,370.02,41.94,1.819,0.34,10
multi_environment,230,396.9,74.44,1.887,0.416,10
multi_environment,240,487.91,112.73,2.398,0.648,10
multi_environment,250,558.21,158.0,2.782,0.897,10
multi_environment,260,545.82,150.04,2.701,0.822,10
multi_environment,270,617.86,167.64,2.996,0.919,10
multi_environment,280,576.38,132.12,2.832,0.746,10
multi_environment,290,676.66,166.3,3.285,0.944,10
